#license: "https://creativecommons.org/publicdomain/zero/1.0/"
#mapping_date: "2020-06-36"
#mapping_provider: https://microbiomedata.org/
#creator_label:
#  - Jagadish Sundaramurthi
#  - Bill Duncan
#curie_map:
#  gold.vocab: "https://microbiomedata/schema/ddl/"
#  mixs: "https://microbiomedata/schema/mixs#"
#  skos: "http://www.w3.org/2004/02/skos/core#"
subject_id	subject_label	predicate_id	object_id	object_label	match_type	subject_source	object_source	confidence	comment
gold.vocab:altitude	altitude	skos:exactMatch	mixs:alt	alt	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:salinity_concentration	salinity_concentration	skos:exactMatch	mixs:salinity	salinity	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:oxygen_concentration	oxygen_concentration	skos:exactMatch	mixs:diss_oxygen	diss_oxygen	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:geographic_location	geographic_location	skos:exactMatch	mixs:geo_loc_name	geo_loc_name	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:nitrate_concentration	nitrate_concentration	skos:exactMatch	mixs:nitrate	nitrate	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:chlorophyll_concentration	chlorophyll_concentration	skos:exactMatch	mixs:chlorophyll	chlorophyll	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_curr_land_use	soil_curr_land_use	skos:exactMatch	mixs:cur_land_use	cur_land_use	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_curr_vegitation	soil_curr_vegitation	skos:exactMatch	mixs:cur_vegetation	cur_vegetation	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_curr_vegitation_method	soil_curr_vegitation_method	skos:exactMatch	mixs:cur_vegetation_meth	cur_vegetation_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_prev_land_use	soil_prev_land_use	skos:exactMatch	mixs:previous_land_use	previous_land_use	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_prev_land_use_meth	soil_prev_land_use_meth	skos:exactMatch	mixs:previous_land_use_meth	previous_land_use_meth	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_crop_rotation	soil_crop_rotation	skos:exactMatch	mixs:crop_rotation	crop_rotation	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_agrochem_addition	soil_agrochem_addition	skos:exactMatch	mixs:agrochem_addition	agrochem_addition	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_tillage	soil_tillage	skos:exactMatch	mixs:tillage	tillage	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_fire	soil_fire	skos:exactMatch	mixs:fire	fire	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
gold.vocab:soil_flodding	soil_flodding	skos:exactMatch	mixs:flooding	flooding	SSSOMC:HumanCurated	gold.vocab	mixs	1.0	.
