id	name	lat_lon	env_broad_scale	env_broad_scale_label	env_local_scale	env_local_scale_label	env_medium	env_medium_label	geo_loc_name	collection_date	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	depth	add_date	community	habitat	identifier	location	mod_date	ncbi_taxonomy_name	sample_collection_site	subsurface_depth	host_name
gold:Gb0111015	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil leachate replicate DNA2013-051	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-06-26	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil leachate		
gold:Gb0111017	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 1 DNA2013-189	68.6139 -149.3145	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-07-08	Environmental	Terrestrial	Soil	Wetlands	Permafrost		26-FEB-15 12.00.00.000000000 AM	microbial communities	Prmafrost soil		from Alaska, USA	13-FEB-20 04.18.26.000000000 PM	soil metagenome	soil		
gold:Gb0111018	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 2 DNA2013-190	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-07-08	Environmental	Terrestrial	Soil	Wetlands	Permafrost		26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	13-FEB-20 04.18.26.000000000 PM	soil metagenome	soil		
gold:Gb0111019	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 2 DNA2013-191	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-07-08	Environmental	Terrestrial	Soil	Wetlands	Permafrost		26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	13-FEB-20 04.18.26.000000000 PM	soil metagenome	soil		
gold:Gb0111021	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil replicate 3 DNA2013-193	68.6135 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-07-08	Environmental	Terrestrial	Soil	Wetlands	Permafrost		26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	13-FEB-20 04.18.26.000000000 PM	soil metagenome	soil		
gold:Gb0111022	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Permafrost soil leachate replicate DNA2013-203	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-07-13	Environmental	Terrestrial	Soil	Wetlands	Permafrost		26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	13-FEB-20 04.18.26.000000000 PM	soil metagenome	soil leachate		
gold:Gb0115217	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T2_23-Sept-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-09-23	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T2_23-Sept-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115218	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T2_25-Nov-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-11-25	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T2_25-Nov-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115219	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T2_30-Apr-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-04-30	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T2_30-Apr-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115220	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T3_23-Sept-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-09-23	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T3_23-Sept-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115221	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T3_25-Nov-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-11-25	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T3_25-Nov-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115222	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T3_30-Apr-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-04-30	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T3_30-Apr-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.25.000000000 PM	groundwater metagenome	sand		
gold:Gb0115223	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_1-July-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-07-01	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_1-July-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115224	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_10-June-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-06-10	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_10-June-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115225	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_12-Aug-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-08-12	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_12-Aug-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115226	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_14-Oct-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-10-14	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_14-Oct-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115227	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_2-Sept-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-09-02	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_2-Sept-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115228	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_21-May-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-05-21	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_21-May-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.25.000000000 PM	groundwater metagenome	sand		
gold:Gb0115229	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry- GW-RW metaG T4_22-July-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-07-22	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_22-July-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115230	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_23-Sept-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-09-23	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_23-Sept-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115231	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_25-Nov-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-11-25	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_25-Nov-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115232	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_30-Apr-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-04-30	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_30-Apr-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115233	Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry - GW-RW metaG T4_4-Nov-14	46.372 -119.272	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	USA: Columbia River, Washington	2014-11-04	Environmental	Terrestrial	Soil	Sand	Unclassified		28-MAY-15 12.00.00.000000000 AM	microbial communities	Sand	GW-RW metaG T4_4-Nov-14	groundwater-surface water interaction zone in Washington, USA	08-JAN-20 02.49.24.000000000 PM	groundwater metagenome	sand		
gold:Gb0115472	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_052	68.6139 -149.3145	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	23-JUN-15 12.00.00.000000000 AM	microbial community	Permafrost soil	Organic soil replicate RNA 2013_052	Arctic	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil leachate		
gold:Gb0115473	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_053	68.6139 -149.3145	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	23-JUN-15 12.00.00.000000000 AM	microbial community	Permafrost soil	Organic soil replicate RNA 2013_053	Arctic	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil leachate		
gold:Gb0115474	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_054	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	23-JUN-15 12.00.00.000000000 AM	microbial community	Permafrost soil	Organic soil replicate RNA 2013_054	Arctic	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil leachate		
gold:Gb0115475	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_055	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	23-JUN-15 12.00.00.000000000 AM	microbial community	Permafrost soil	Organic soil replicate RNA 2013_055	Arctic	08-JAN-20 02.49.25.000000000 PM	soil metagenome	soil leachate		
gold:Gb0115476	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_056	68.6135 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	23-JUN-15 12.00.00.000000000 AM	microbial community	Permafrost soil	Organic soil replicate RNA 2013_056	Arctic	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil leachate		
gold:Gb0115477	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate RNA 2013_057	68.6135 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	23-JUN-15 12.00.00.000000000 AM	microbial community	Permafrost soil	Organic soil replicate RNA 2013_057	Arctic	08-JAN-20 02.49.25.000000000 PM	soil metagenome	soil leachate		
gold:Gb0119259	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_10_10	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-10	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_10_10	Ohio	08-JAN-20 02.49.25.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119260	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_10_11	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-11	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_10_11	Ohio	08-JAN-20 02.49.24.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119261	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_10_12	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-12	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_10_12	Ohio	08-JAN-20 02.49.24.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119262	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_10_16	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-16	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_10_16	Ohio	08-JAN-20 02.49.25.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119263	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_10_18	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-18	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified	2000.0 m	15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_10_18	Ohio	13-FEB-20 04.19.34.000000000 PM	subsurface metagenome	Aqueous Sample		
gold:Gb0119264	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_10_20	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-20	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_10_20	Ohio	08-JAN-20 02.49.24.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119265	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_10_22	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-22	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_10_22	Ohio	08-JAN-20 02.49.24.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119266	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_1_29	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-10-29	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_1_29	Ohio	08-JAN-20 02.49.24.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119267	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_11_5	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-11-05	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_11_5	Ohio	08-JAN-20 02.49.25.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
gold:Gb0119268	Deep subsurface shale carbon reservoir microbial communities from Ohio, USA - Utica-2 Time Series 2014_11_19	40.178000000000004 -81.07300000000001	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	USA: Ohio	2014-11-19	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified		15-AUG-15 12.00.00.000000000 AM	microbial communities	Deep subsurface	Utica-2 Time Series 2014_11_19	Ohio	08-JAN-20 02.49.24.000000000 PM	subsurface metagenome	Aqueous Sample	2000.0	
