id	name	lat_lon	env_broad_scale	env_broad_scale_label	env_local_scale	env_local_scale_label	env_medium	env_medium_label	geo_loc_name	collection_date	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	depth	add_date	community	habitat	identifier	location	mod_date	ncbi_taxonomy_name	sample_collection_site	subsurface_depth	host_name
gold:Gb0108335	Thawing permafrost microbial communities from the Arctic, studying carbon transformations - Permafrost 712P3D	68.3534 19.0472	ENVO:00000446	terrestrial biome	ENVO:00000489	palsa	ENVO:00000134	permafrost	Sweden: Kiruna	2012-07-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	30-OCT-14 12.00.00.000000000 AM	microbial communities	Thawing permafrost	studying carbon transformations	from the Arctic	15-MAY-20 10.04.19.473000000 AM	permafrost metagenome	Palsa		
gold:Gb0108340	Thawing permafrost microbial communities from the Arctic, studying carbon transformations - Permafrost 612S3M	68.3533 19.0475	ENVO:00000446	terrestrial biome	ENVO:00000044	peatland	ENVO:00000134	permafrost	Sweden: Kiruna	2012-06-03	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	30-OCT-14 12.00.00.000000000 AM	microbial communities	Thawing permafrost	studying carbon transformations	from the Arctic	20-MAY-20 08.16.56.747000000 PM	permafrost metagenome	permafrost soil where Sphagnum dominantly present		
gold:Gb0108341	Thawing permafrost microbial communities from the Arctic, studying carbon transformations - Permafrost 712S3S	68.3533 19.0475	ENVO:00000446	terrestrial biome	ENVO:00000044	peatland	ENVO:00000134	permafrost	Sweden: Kiruna	2012-07-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	30-OCT-14 12.00.00.000000000 AM	microbial communities	Thawing permafrost	studying carbon transformations	from the Arctic	20-MAY-20 08.16.34.976000000 PM	permafrost metagenome	permafrost soil where Sphagnum dominantly present		
gold:Gb0108342	Thawing permafrost microbial communities from the Arctic, studying carbon transformations - Permafrost 812E2M	68.3533 19.0466	ENVO:00000446	terrestrial biome	ENVO:00000044	peatland	ENVO:00000134	permafrost	Sweden: Kiruna	2012-08-23	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	30-OCT-14 12.00.00.000000000 AM	microbial communities	Thawing permafrost	studying carbon transformations	from the Arctic	20-MAY-20 07.59.40.510000000 PM	permafrost metagenome	permafrost soil where Eriophorum dominanatly present.		
gold:Gb0108344	Thawing permafrost microbial communities from the Arctic, studying carbon transformations - Permafrost 812P2M	68.3534 19.0473	ENVO:00000446	terrestrial biome	ENVO:00000489	palsa	ENVO:00000134	permafrost	Sweden: Kiruna	2012-08-23	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	30-OCT-14 12.00.00.000000000 AM	microbial communities	Thawing permafrost	studying carbon transformations	from the Arctic	15-MAY-20 10.02.29.053000000 AM	permafrost metagenome	Palsa		
gold:Gb0108345	Thawing permafrost microbial communities from the Arctic, studying carbon transformations - Permafrost 812S1M	68.3532 19.0475	ENVO:00000446	terrestrial biome	ENVO:00000044	peatland	ENVO:00000134	permafrost	Sweden: Kiruna	2012-08-23	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	30-OCT-14 12.00.00.000000000 AM	microbial communities	Thawing permafrost	studying carbon transformations	from the Arctic	20-MAY-20 08.17.13.250000000 PM	permafrost metagenome	permafrost soil where Sphagnum dominantly present		
gold:Gb0111009	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate 1 DNA2013-045	68.6139 -149.3145	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	26-FEB-15 12.00.00.000000000 AM	microbial communities	Permafrost soil		from Alaska, USA	26-MAY-20 05.46.03.781000000 PM	soil metagenome	soil		
gold:Gb0111010	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate 1 DNA2013-046	68.6139 -149.3145	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	26-FEB-15 12.00.00.000000000 AM	microbial communities	Prmafrost soil		from Alaska, USA	08-JAN-20 02.49.25.000000000 PM	soil metagenome	soil		
gold:Gb0111011	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate 2 DNA2013-047	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil		
gold:Gb0111012	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate 2 DNA2013-048	68.6137 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	08-JAN-20 02.49.25.000000000 PM	soil metagenome	soil		
gold:Gb0111013	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate 3 DNA2013-049	68.6135 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil		
gold:Gb0111014	Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) - Organic soil replicate 3 DNA2013-050	68.6135 -149.3144	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Alaska, USA	2013-06-20	Environmental	Terrestrial	Soil	Wetlands	Permafrost	0.0 m	26-FEB-15 12.00.00.000000000 AM	microbial communities	Soil		from Alaska, USA	08-JAN-20 02.49.24.000000000 PM	soil metagenome	soil		
