name	env_broad_scale	env_broad_scale_label	env_local_scale	env_local_scale_label	env_medium	env_medium_label	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem
Thawing permafrost microbial communities from the Arctic, studying carbon transformations 	ENVO:00000446	terrestrial biome	ENVO:00000489	palsa	ENVO:00000134	permafrost	Environmental	Terrestrial	Soil	Wetlands	Permafrost
Thawing permafrost microbial communities from the Arctic, studying carbon transformations 	ENVO:00000446	terrestrial biome	ENVO:00000044	peatland	ENVO:00000134	permafrost	Environmental	Terrestrial	Soil	Wetlands	Permafrost
Soil microbial communities from the East River watershed near Crested Butte, Colorado, United States 	ENVO:00000446	terrestrial biome	ENVO:00000292	watershed	ENVO:00001998	soil	Environmental	Terrestrial	Soil	Unclassified	Unclassified
Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets 	ENVO:01000127	marine cold seep biome	ENVO:01000263	cold seep	ENVO:03000033	marine sediment	Environmental	Aquatic	Marine	Cold seeps	Unclassified
Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets 	ENVO:01000127	marine cold seep biome	ENVO:01000263	cold seep	ENVO:03000033	marine sediment	Environmental	Aquatic	Marine	Cold seeps	Sediment
Sediment cell enrichment communities from methane seep in Santa Monica Basin, California, United Staets 			ENVO:2000000	chemical product			Engineered	Lab enrichment	Defined media	Unclassified	Unclassified
Salt marsh sediment microbial communities from the Plum Island Ecosystem LTER, Massachusetts, United States 	ENVO:01000022	marine salt marsh biome	ENVO:00000316	intertidal zone	ENVO:00000054	saline marsh	Environmental	Aquatic	Marine	Intertidal zone	Salt marsh
Rhizosphere microbial communities from Carex aquatilis grown in University of Washington, Seatle, WA, United States 	ENVO:00000446	terrestrial biome	ENVO:00005801	rhizosphere	ENVO:00001998	soil	Host-associated	Plants	Rhizosphere	Soil	Unclassified
Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) 	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00002141	leachate	Environmental	Terrestrial	Soil	Wetlands	Permafrost
Permafrost soil microbial communities from the Arctic, to analyse light accelerated degradation of dissolved organic matter (DOM) 	ENVO:00000446	terrestrial biome	ENVO:00000043	wetland area	ENVO:00000134	permafrost	Environmental	Terrestrial	Soil	Wetlands	Permafrost
Permafrost microbial communities from Stordalen Mire, Sweden 	ENVO:00000446	terrestrial biome	ENVO:00000511	blanket bog	ENVO:00000134	permafrost	Environmental	Terrestrial	Soil	Wetlands	Permafrost
