name	env_broad_scale	env_broad_scale_label	env_local_scale	env_local_scale_label	env_medium	env_medium_label	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem
Permafrost microbial communities from Stordalen Mire, Sweden 	ENVO:00000446	terrestrial biome	ENVO:00000232	fen	ENVO:00000134	permafrost	Environmental	Terrestrial	Soil	Wetlands	Permafrost
Permafrost microbial communities from Stordalen Mire, Sweden 	ENVO:00000446	terrestrial biome	ENVO:00000188	palsa mire	ENVO:00000134	permafrost	Environmental	Terrestrial	Soil	Wetlands	Permafrost
Lab incubated forest soil microbial communities from Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01001275	solid layer	ENVO:00005781	heat stressed soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Lab incubated forest soil microbial communities from Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01000159	obsolete organic feature	ENVO:00005781	heat stressed soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Lab incubated forest soil microbial communities from Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01000159	obsolete organic feature	ENVO:00002261	forest soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry 	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	Environmental	Terrestrial	Soil	Sand	Unclassified
Groundwater microbial communities from the Columbia River, Washington, USA, for microbe roles in carbon and contaminant biogeochemistry	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	Environmental	Terrestrial	Soil	Sand	Unclassified
Groundwater microbial communities from the Columbia River, Washington, USA 	ENVO:00000873	freshwater biome	ENVO:00000022	river	ENVO:01000017	sand	Environmental	Terrestrial	Soil	Sand	Unclassified
Groundwater microbial communities from the Columbia River, Washington, USA 	ENVO:00000446	terrestrial biome	ENVO:00000022	river	ENVO:01000017	sand	Environmental	Terrestrial	Soil	Sand	Unclassified
Forest soil microbial communities from Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01001275	solid layer	ENVO:00005781	heat stressed soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Forest soil microbial communities from Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01001275	solid layer	ENVO:00002261	forest soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Forest soil microbial communities from Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01000159	obsolete organic feature	ENVO:00005781	heat stressed soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Forest soil microbial communities from Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01000159	obsolete organic feature	ENVO:00002261	forest soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Enriched cells from marine sediment in Santa Monica Basin, California, USA 	ENVO:00002030	aquatic biome	ENVO:00002450	ocean basin	ENVO:00002113	deep marine sediment	Environmental	Aquatic	Marine	Coastal	Sediment
Enriched cells from forest soil in Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01001275	solid layer	ENVO:00005781	heat stressed soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Enriched cells from forest soil in Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01001275	solid layer	ENVO:00002261	forest soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Enriched cells from forest soil in Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01000159	obsolete organic feature	ENVO:00005781	heat stressed soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Enriched cells from forest soil in Barre Woods Harvard Forest LTER site, Petersham, Massachusetts, United States 	ENVO:01000174	forest biome	ENVO:01000159	obsolete organic feature	ENVO:00002261	forest soil	Environmental	Terrestrial	Soil	Unclassified	Forest Soil
Deep subsurface shale carbon reservoir viral communities from Ohio, USA 	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone			Environmental	Terrestrial	Deep subsurface	Fracking water	Unclassified
Deep subsurface shale carbon reservoir microbial communities from Ohio, USA 	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:02000119	oil shale	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified
Deep subsurface shale carbon reservoir microbial communities from Ohio, USA 	ENVO:00000446	terrestrial biome	ENVO:01000941	planetary subsurface zone	ENVO:00002007	sediment	Environmental	Terrestrial	Deep subsurface	Unclassified	Unclassified
Cyanobacterial communities from Joint Genome Institute, California, USA 			ENVO:01000008	microbial mat	ENVO:01000157	microbial mat material	Host-associated	Microbial	Bacteria	Unclassified	Unclassified
Continental margin sediment microbial communities from the China 	ENVO:00000447	marine biome	ENVO:01000298	continental margin	ENVO:03000033	marine sediment	Environmental	Aquatic	Marine	Unclassified	Unclassified
Continental margin sediment microbial communities from the Arctic Ocean 	ENVO:00000447	marine biome	ENVO:01000298	continental margin	ENVO:03000033	marine sediment	Environmental	Aquatic	Marine	Unclassified	Unclassified
Continental margin sediment microbial communities from Tajikistan 	ENVO:00000447	marine biome	ENVO:01000298	continental margin	ENVO:03000033	marine sediment	Environmental	Aquatic	Marine	Unclassified	Unclassified
Continental margin sediment microbial communities from North Atlantic Ocean, United States 	ENVO:00000447	marine biome	ENVO:01000298	continental margin	ENVO:03000033	marine sediment	Environmental	Aquatic	Marine	Sediment	Unclassified
Continental margin sediment microbial communities from China 	ENVO:00000447	marine biome	ENVO:01000298	continental margin	ENVO:03000033	marine sediment	Environmental	Aquatic	Marine	Unclassified	Unclassified
Avena fatua rhizosphere microbial communities from Hopland, California, USA 	ENVO:00000446	terrestrial biome	ENVO:00005801	rhizosphere	ENVO:00001998	soil	Host-associated	Plants	Rhizosphere	Soil	Unclassified
Avena fatua rhizosphere microbial communities 	ENVO:00000446	terrestrial biome	ENVO:00005801	rhizosphere	ENVO:00001998	soil	Host-associated	Plants	Rhizosphere	Soil	Unclassified

