ecosystem_path_id	ecosystem	ecosystem_category	ecosystem_type	ecosystem_subtype	specific_ecosystem	biome_label	biome_iri	material_label	material_iri	feature_label	feature_iri
	Environmental					environmental system	ENVO:01000254				
	Environmental	Air						air	ENVO:00002005		
	Environmental	Air	Indoor Air							building	ENVO:00000073
	Environmental	Air	Outdoor Air							nitrogen-oxygen planetary atmosphere	ENVO:01000811
	Environmental	Aquatic				aquatic biome	ENVO:00002030				
	Environmental	Aquatic	Aquaculture			aquatic biome	ENVO:00002030				FOODON:03520111
	Environmental	Aquatic	Estuary			estuarine biome	ENVO:01000020			estuary	ENVO:00000045
	Environmental	Aquatic	Estuary	Sediment		estuarine biome	ENVO:01000020	sediment	ENVO:00002007		
	Environmental	Aquatic	Freshwater			freshwater biome	ENVO:00000873	fresh water	ENVO:00002011		
	Environmental	Aquatic	Freshwater	Drinking water		freshwater biome	ENVO:00000873	drinking water	ENVO:00003064		
	Environmental	Aquatic	Freshwater	Drinking water	Chlorinated	freshwater biome	ENVO:00000873		FOODON:03301647		
	Environmental	Aquatic	Freshwater	Drinking water	Delivery networks					plumbing fixture	ENVO:01000989
	Environmental	Aquatic	Freshwater	Groundwater		freshwater biome	ENVO:00000873	groundwater	ENVO:01001004		
	Environmental	Aquatic	Freshwater	Groundwater	Acid Mine Drainage	freshwater biome	ENVO:00000873			acid mine drainage	ENVO:00001997
	Environmental	Aquatic	Freshwater	Groundwater	Biofilm	freshwater biome	ENVO:00000873			biofilm	ENVO:00002034
	Environmental	Aquatic	Freshwater	Groundwater	Cave water	freshwater biome	ENVO:00000873	cave	ENVO:00000067		
	Environmental	Aquatic	Freshwater	Groundwater	Coalbed water	freshwater biome	ENVO:00000873	coal	ENVO:02000091		
	Environmental	Aquatic	Freshwater	Groundwater	Contaminated	freshwater biome	ENVO:00000873	contaminated water	ENVO:00002186		
	Environmental	Aquatic	Freshwater	Groundwater	Mine	aquatic biome	ENVO:00002030			mine	ENVO:00000076
	Environmental	Aquatic	Freshwater	Groundwater	Mine drainage	freshwater biome	ENVO:00000873	mine drainage	ENVO:00001996		
	Environmental	Aquatic	Freshwater	Ice		freshwater biome	ENVO:00000873	water ice	ENVO:01000277		
	Environmental	Aquatic	Freshwater	Ice	Glacial lake	freshwater lake biome	ENVO:01000252			glacial lake	ENVO:00000488
	Environmental	Aquatic	Freshwater	Ice	Glacier	freshwater biome	ENVO:00000873	glacier	ENVO:00000133	glacial feature	ENVO:00000131
	Environmental	Aquatic	Freshwater	Ice	Ice accretions	freshwater biome	ENVO:00000873	ice mass	ENVO:01000293		
	Environmental	Aquatic	Freshwater	Lake		freshwater lake biome	ENVO:01000252	freshwater lake	ENVO:00000021		
	Environmental	Aquatic	Freshwater	Lentic		freshwater biome	ENVO:00000873			lentic water body	ENVO:01000617
	Environmental	Aquatic	Freshwater	Lentic	Epilimnion	freshwater lake biome	ENVO:01000252			epilimnion	ENVO:00002131
	Environmental	Aquatic	Freshwater	Lentic	Hypolimnion	freshwater lake biome	ENVO:01000252			hypolimnion	ENVO:00002130
	Environmental	Aquatic	Freshwater	Lentic	Limnetic zone	freshwater lake biome	ENVO:01000252				
	Environmental	Aquatic	Freshwater	Lentic	Littoral zone	freshwater biome	ENVO:00000873				
	Environmental	Aquatic	Freshwater	Lentic	Sediment	freshwater biome	ENVO:00000873	sediment	ENVO:00002007		
	Environmental	Aquatic	Freshwater	Lotic		freshwater biome	ENVO:00000873	lotic water body	ENVO:01000618		
	Environmental	Aquatic	Freshwater	Lotic	Acidic	acidic environment	ENVO:01000315				
	Environmental	Aquatic	Freshwater	Lotic	Low land river systems	freshwater river biome	ENVO:01000253				
	Environmental	Aquatic	Freshwater	Lotic	Microbial mats	freshwater biome	ENVO:00000873			microbial mat	ENVO:01000008
	Environmental	Aquatic	Freshwater	Lotic	Mid stream	freshwater biome	ENVO:00000873				
	Environmental	Aquatic	Freshwater	Lotic	Sediment	freshwater biome	ENVO:00000873	sediment permeated by freshwater	ENVO:01001028		
	Environmental	Aquatic	Freshwater	Microbialites		freshwater biome	ENVO:00000873				
	Environmental	Aquatic	Freshwater	Pond		freshwater biome	ENVO:00000873			pond	ENVO:00000033
	Environmental	Aquatic	Freshwater	Pond	Sediment	freshwater biome	ENVO:00000873	sediment permeated by freshwater	ENVO:01001028		
	Environmental	Aquatic	Freshwater	Sediment		freshwater biome	ENVO:00000873	sediment permeated by freshwater	ENVO:01001028		
